id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
169,7,5,6,5,2,5,7,7,7,1,1,1,6,6,6,1,1,1
170,5,3,5,3,3,3,5,5,5,6,6,6,5,5,3,1,2,2
171,7,7,5,7,4,5,5,6,5,6,4,4,3,7,2,7,4,6
172,3,2,4,6,3,6,5,5,3,3,4,2,3,3,3,3,4,2
173,6,6,5,5,7,5,5,5,3,4,4,5,5,3,5,5,3,5
174,6,6,6,1,4,1,6,5,5,1,1,1,5,5,4,1,1,1
175,2,5,5,5,4,2,5,5,5,5,4,5,5,5,2,2,2,5
176,5,4,4,5,7,5,4,4,3,5,4,5,2,5,4,3,4,2
177,3,3,4,7,6,7,5,3,2,1,1,1,1,2,1,2,1,1
178,7,7,6,1,1,1,5,6,6,1,1,1,5,5,5,1,1,1
179,4,5,5,5,3,6,4,5,5,5,6,6,4,4,5,1,5,4
180,6,6,6,1,6,5,5,6,4,4,1,2,4,5,5,1,1,1
181,5,5,5,2,2,2,6,6,6,3,3,5,5,5,6,3,2,3
182,6,6,6,6,7,7,5,7,2,1,1,7,1,5,1,7,6,1
183,6,6,5,2,3,3,5,5,4,1,5,2,4,4,3,6,5,6
184,7,5,4,5,5,5,5,5,5,1,5,6,4,4,4,1,1,4
185,7,7,6,2,5,7,6,7,6,2,3,4,4,6,1,2,3,2
186,7,6,5,2,3,4,6,5,4,4,6,3,7,7,6,7,1,4
187,5,4,5,6,5,5,6,6,6,2,3,4,4,5,2,7,2,4
188,6,5,6,6,5,5,5,4,4,6,6,5,5,6,6,5,5,4
189,6,5,5,4,3,3,4,5,6,4,3,4,6,5,5,3,1,1
190,6,5,5,3,7,5,4,4,2,5,2,4,1,2,2,1,5,1
191,5,5,4,3,3,5,5,5,5,2,5,3,2,3,5,3,4,2
192,4,3,4,6,5,7,2,4,5,5,5,6,4,2,2,6,5,4
193,6,7,6,5,3,2,6,6,5,5,5,3,4,6,3,7,4,4
194,2,2,5,5,4,7,2,1,3,7,7,7,3,4,3,2,3,1
195,1,1,4,5,3,4,5,3,5,5,4,6,4,4,5,5,3,4
196,6,5,6,4,1,1,6,6,6,2,4,1,4,6,1,7,2,6
197,6,6,5,1,1,7,7,6,6,1,6,1,5,6,5,1,1,1
198,6,6,6,3,1,2,6,5,5,1,2,2,5,4,1,1,1,2
199,6,6,5,2,1,2,7,7,7,2,2,2,2,2,2,2,2,2
200,1,1,1,6,7,6,1,1,1,2,6,2,1,1,1,6,6,1
201,5,4,4,2,4,5,6,4,7,5,4,2,6,5,5,7,4,5
