study,age,gender,condition,recallText,possibleCareless,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,randomID,wave,playtimePrevWeek,playtimePrev2Weeks,playtimeNextWeek,playtimeNext2Weeks,game,umi_1,umi_2,umi_3,pxi_1,pxi_2,pxi_3,pxi_4,pxi_5,pxi_6,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24
study1efa,22,Man,positive experience,"It was team fight tactics, i got first place, and i felt like i was learning",TRUE,4,5,1,3,4,3,6,5,4,4,3,5,2,4,5,5,5,4,5,3,3,5,4,5,6,6,4,5,5,5,5,5,5,4,5,4,3,3,5,4,3,2,5,3,3,5,3,3,5,4,2,5,5,3,3,3,5,3,5,5,3,3,3,2,3,3,3,4,2,5,4,5,3,3,5,2,4,2,5,6,3,3,3,4,5,6,2,5,4,5,4,6,NA,NA,NA,NA,NA,NA,Team Fight Tactics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,21,Man,positive experience,Genshin Impact. I've been feeling so happy playing it. It is so non competitive.,FALSE,1,1,1,1,7,1,1,1,1,1,1,1,2,1,6,3,6,6,5,7,7,7,6,5,7,6,6,1,2,5,7,3,1,1,1,1,1,3,5,2,2,1,2,1,2,2,1,6,6,6,5,6,6,6,7,6,6,6,7,6,6,6,1,1,2,1,1,6,1,2,1,1,2,2,2,1,1,6,6,6,7,6,6,6,5,6,6,6,7,5,6,6,NA,NA,NA,NA,NA,NA,Genshin Impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,24,Man,positive experience,I played Mortal Kombat on ps5. In the game i won against all of my friends. It's a fighting game. I felt satisfied and amused,TRUE,3,6,6,6,5,4,6,6,6,7,6,5,5,7,6,6,5,5,7,6,6,5,6,2,3,4,5,5,6,7,5,5,6,5,6,3,2,2,1,6,6,5,6,7,6,7,2,6,6,7,4,6,4,6,6,6,7,6,6,5,4,7,4,5,2,3,3,3,4,6,5,6,6,6,4,6,3,4,7,6,2,6,5,4,5,6,5,4,3,6,6,6,NA,NA,NA,NA,NA,NA,Mortal Kombat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,positive experience,Wasteland 3,TRUE,2,1,1,2,5,2,4,2,1,4,2,2,2,2,3,1,6,6,6,6,6,7,6,6,6,2,6,4,6,3,7,1,4,4,2,2,2,1,2,2,2,1,1,2,1,2,1,6,7,5,6,2,7,5,6,6,6,7,5,6,7,6,2,4,1,2,2,4,1,4,4,4,2,1,4,4,1,3,3,5,6,4,5,6,1,6,4,3,3,4,2,5,NA,NA,NA,NA,NA,NA,Wasteland 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,24,Man,positive experience,"Played subnautica, very enjoyable",FALSE,1,1,4,2,5,1,2,2,1,1,1,1,1,1,1,2,7,5,7,6,7,7,6,7,7,3,6,4,5,3,6,1,2,2,1,2,1,2,5,2,1,1,1,3,1,2,2,6,6,4,6,5,5,5,6,6,6,6,7,6,7,6,1,1,2,1,1,2,1,1,1,4,1,4,1,1,1,1,1,2,2,1,1,1,1,4,1,2,3,1,1,1,NA,NA,NA,NA,NA,NA,Subnautica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,20,Woman,positive experience,I played minecraft mini games with my frineds. I felt relaxed and unbothred,FALSE,1,2,2,1,1,5,2,1,3,3,1,2,2,1,4,1,5,5,2,5,5,5,5,1,4,1,5,1,6,6,2,2,6,2,2,1,1,7,4,2,5,1,1,1,1,6,1,4,4,5,3,6,4,6,6,6,6,5,6,7,6,3,1,6,2,2,1,6,1,1,1,1,1,1,5,1,1,4,6,7,6,6,2,6,5,6,4,7,6,6,6,5,NA,NA,NA,NA,NA,NA,Minecraft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,negative experience,"I didn't like genshin impact
It has a good gameplay but it didn't convince me
When starting the game there are certain parts that one does not understand what to do in the game and the player is confused",FALSE,7,5,2,3,5,4,6,5,5,4,4,4,4,5,5,5,5,5,4,6,4,5,4,1,4,5,4,3,4,4,4,3,5,4,5,5,7,3,2,4,4,5,1,3,4,6,7,4,4,5,5,5,5,6,4,2,5,6,4,4,5,5,5,4,4,4,4,5,4,5,4,2,5,3,5,4,5,3,4,6,4,5,5,4,4,5,3,4,3,5,4,4,NA,NA,NA,NA,NA,NA,Genshin Impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,26,Man,positive experience,Gta 5 is an amazing game. I recently played this game a few hours ago and usually play it on a daily basis. The online side of the game is based on reality and making money in the game surely makes one feel like an upcoming businessman. I feel like a king pin when play GTA 5.,FALSE,1,5,1,4,6,1,1,1,2,1,5,2,1,1,1,1,7,7,7,1,6,7,6,7,7,7,7,7,4,7,5,1,1,1,1,5,7,1,1,1,1,1,1,2,4,2,4,7,7,6,7,6,7,7,5,6,7,7,7,7,7,7,2,5,2,1,1,1,5,5,7,1,1,2,1,2,1,5,6,4,1,3,5,6,4,5,6,5,7,7,5,5,NA,NA,NA,NA,NA,NA,GTA 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,20,Man,positive experience,"So the game i enjoyed the most right now is Fornite. I know that this is kinda common but i never played this game before, and now im playing almost everyday with my girlfriend. I like everything in this game and i love buying cute skins for me and my girlfriend. I feel great while playing, we have a lot, i mean a lot of fun!",TRUE,1,1,1,1,7,1,7,1,3,1,1,1,1,2,1,1,7,7,1,1,7,7,4,7,7,1,7,1,6,1,5,5,1,1,3,1,7,1,7,1,2,1,1,1,1,1,1,3,4,3,1,7,7,7,7,7,7,6,6,7,7,6,1,1,1,1,2,4,7,6,7,1,1,1,1,1,1,1,4,6,1,1,1,7,1,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,Fortnite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,35,Man,positive experience,minecraft me gusta construir  me parece relagante,FALSE,3,3,1,4,5,4,4,6,4,4,2,3,4,3,3,3,7,7,6,6,6,7,6,6,5,6,6,6,6,6,6,3,3,2,3,3,4,3,4,3,3,1,2,4,4,3,4,6,6,5,7,6,6,7,6,6,6,6,6,7,6,6,3,2,3,2,1,3,2,3,3,3,2,3,2,6,2,6,6,6,6,5,4,5,6,7,5,6,6,5,6,6,NA,NA,NA,NA,NA,NA,Minecraft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,27,Man,positive experience,"I was playing Vampire Survivors, after trying again and again to upgrade all six weapons for an achievement, I finally did during a run of the game, I feel pretty happy and satisfied since now I can move on to complete every level with my favorite characters.",FALSE,1,1,2,2,7,2,5,2,2,2,3,2,2,2,1,2,7,6,6,7,7,7,7,7,6,7,7,6,5,2,4,1,2,2,1,3,3,1,3,3,2,1,3,1,2,2,4,6,7,6,5,7,7,6,5,6,5,7,6,6,7,6,1,2,3,1,1,4,1,1,1,4,1,5,1,1,1,4,4,1,4,4,1,4,4,4,4,7,4,4,1,4,NA,NA,NA,NA,NA,NA,Vampire Survivors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,33,Man,positive experience,I most recently played StarCraft 2. I was playing a custom dense style game. It was a team game that defends against waves of enemies. I had lost tho due to incompetent team mates. It was a fun time even though I lost. Something to do to kill the time.,FALSE,4,5,5,5,4,4,5,4,4,4,3,2,4,3,3,5,5,3,4,5,5,6,6,6,2,6,4,4,3,4,4,2,2,4,4,4,5,2,3,5,2,1,2,4,2,2,3,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,2,3,4,4,4,5,2,3,5,3,3,2,3,3,3,2,2,4,4,2,2,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,Starcraft 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,25,Woman,negative experience,"I was playing League of Legends, and my team wasn't winning so they were cussing each other out and blaming me for losing the game. I felt bad but just kept playing, eventually we lost the game.",TRUE,6,5,3,5,6,1,2,5,2,5,4,3,7,6,5,5,4,6,3,6,5,4,5,3,4,4,4,3,4,2,3,6,1,3,4,3,2,7,2,7,2,2,6,5,7,2,2,3,2,4,5,2,2,1,4,5,6,3,7,5,3,6,2,2,7,4,3,5,2,5,5,4,4,5,4,5,2,2,4,2,4,6,2,5,2,5,6,4,1,5,4,6,NA,NA,NA,NA,NA,NA,League of Legends,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,20,Man,negative experience,it was yesterday.i was playing cs go and i was very angry and mad cause my team was very bad. we lost ten rounds in the row.,FALSE,3,3,3,3,5,5,5,2,2,3,5,5,5,5,6,3,4,6,6,4,5,3,4,5,4,5,6,5,5,2,5,5,4,5,2,4,5,4,3,4,4,1,5,4,3,1,5,4,7,3,3,5,6,5,3,3,7,6,3,3,7,4,4,5,4,3,5,2,6,5,4,1,2,2,4,3,6,1,4,4,1,3,5,2,5,2,3,2,6,3,5,2,NA,NA,NA,NA,NA,NA,Counter-Strike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,positive experience,Counter-Strike: Global Offensive; Normal gameplay playing competitive matches; felt good specially because I hadn't played in a while,FALSE,3,2,1,2,5,4,1,2,3,1,4,2,2,2,4,4,6,6,6,5,6,6,7,6,6,4,6,6,5,5,6,2,4,2,1,1,6,6,2,2,2,1,1,1,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,4,2,2,1,2,5,4,5,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,5,4,5,6,6,5,NA,NA,NA,NA,NA,NA,Counter-Strike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,24,Man,negative experience,"I was playing dead by daylight and the person playing a killer was camping survivors and just played in a way that really made it impossible for me and the others to enjoy. I was feeling frustrated, annoyed and angry. That person was just wasting all of our time.",FALSE,5,6,5,5,5,6,7,5,5,6,2,6,6,1,5,5,1,1,1,3,2,3,3,3,4,1,1,2,2,1,1,2,6,3,1,6,7,7,6,2,6,1,2,5,7,5,5,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,6,1,5,5,2,5,7,2,7,6,5,6,4,5,6,2,2,1,5,1,2,1,1,1,1,1,1,2,3,1,NA,NA,NA,NA,NA,NA,Dead by Daylight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,31,Man,negative experience,"Cyberpunk 2077, the game have much bugs, in the missions the other character go away and I need to restart all the mission, the cars no collider in the floor, character reander not charge good and the game crash.",FALSE,5,5,2,6,5,5,2,3,5,5,6,5,3,5,6,2,7,6,6,5,7,6,5,6,3,5,6,2,3,5,5,6,5,1,2,5,3,5,7,5,5,1,5,5,2,5,2,5,6,7,3,5,5,6,6,5,6,7,5,5,4,5,2,5,1,1,6,3,2,2,1,6,3,2,5,5,5,6,2,6,2,5,2,1,5,3,5,6,1,5,5,6,NA,NA,NA,NA,NA,NA,Cyberpunk 77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,34,Man,negative experience,"It was a hack/slash game, but to the basics, there was no challenge, almost no combinations that make sence, so in the gameplay it didnt even mather what buttons i pushed, everything was the same.
It was too repetitive and boring.",FALSE,7,1,6,1,1,1,7,7,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,7,1,1,1,1,2,1,1,1,1,1,1,4,1,1,3,1,3,1,2,7,7,1,7,7,7,7,7,1,6,1,7,2,4,1,4,2,4,4,1,1,3,6,1,1,2,1,3,1,1,1,3,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,25,Man,positive experience,"The game was Call Of Duty Modern Warfare II. I ended up killing 36 people and dying only 15 times. Felt pretty good about myself, fun game.",TRUE,1,1,1,1,2,2,2,1,1,1,1,1,2,3,1,2,6,6,6,5,5,6,5,6,3,5,7,5,4,5,4,2,1,3,1,2,4,2,6,2,3,1,2,1,1,2,1,5,7,6,3,5,7,6,5,6,7,6,6,6,6,4,1,2,2,2,1,6,5,5,4,1,3,2,1,1,2,1,2,1,2,1,4,2,2,2,2,4,4,2,2,2,NA,NA,NA,NA,NA,NA,Call of Duty: Modern Warfare II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,negative experience,"FIFA 23, every year that is getting passed is worse and worse",TRUE,4,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,6,6,4,4,6,5,6,5,5,6,6,5,5,5,6,6,7,6,6,4,3,4,5,5,4,3,4,6,5,6,5,4,4,4,5,5,5,6,5,5,6,3,5,2,5,4,5,7,5,5,2,4,5,2,4,5,6,6,4,6,5,6,4,4,5,5,5,5,4,6,3,NA,NA,NA,NA,NA,NA,FIFA 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,25,Woman,positive experience,The most recent time I have played a game it was fifa 23 I felt good wihle playing since I could get some wins in ultimate team.,FALSE,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,2,6,5,6,6,6,6,6,6,5,2,6,4,3,5,5,2,1,1,1,1,4,1,1,2,1,1,1,1,3,2,3,5,5,5,5,5,5,6,6,6,5,6,6,6,6,6,2,2,1,1,1,4,1,1,1,1,1,2,1,1,1,4,6,4,4,3,3,4,4,1,4,5,5,4,4,4,NA,NA,NA,NA,NA,NA,FIFA 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,27,Man,negative experience,"I was playing Gran Turismo 7 online. I don't usually play multiplayer on my PS4, so I am just starting out and being matched with lower level players who can't make a corner without hitting me and, probably on purpose, ram into me when attacking or defending a position. It was ruining my races and was very frustrating, to the point I just stopped playing it and played something else.",FALSE,3,5,2,6,3,4,5,4,4,3,3,4,4,5,3,4,5,5,4,5,5,5,5,5,5,4,5,4,3,4,5,5,4,5,3,5,6,3,5,5,4,2,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,5,4,4,4,4,6,5,6,3,3,4,3,4,4,5,3,3,3,3,4,3,3,3,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,Gran Turismo 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,negative experience,"The games was Control and I played the first time and I dont touch it anymore, the game was confuse and I didn't enjoyed that much playing it.",FALSE,5,5,6,6,1,5,6,5,1,1,4,1,1,5,5,5,2,3,5,1,2,2,4,4,5,5,2,4,5,6,5,5,6,1,4,5,1,4,5,4,1,5,3,4,5,5,5,6,5,5,5,4,5,6,5,5,5,6,6,1,1,5,1,1,6,1,2,5,1,2,2,4,1,1,1,6,5,6,1,5,3,5,1,4,5,5,6,1,4,1,1,5,NA,NA,NA,NA,NA,NA,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
