Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea931bc1db763a7ca4203,61597ca19e7685bd2a7c5ece,APPROVED,2023-04-18T14:29:11.695000Z,2023-04-18T14:45:32.275000Z,2023-04-18T15:57:03.095000,2023-04-18T14:45:37.189957Z,981,C1I6GZK1,104,13 hours or more,30,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
643ea9335fee3e3bb53e717b,5f2db71517f1c70d8f46e916,APPROVED,2023-04-18T14:29:07.396000Z,2023-04-18T14:33:13.371000Z,2023-04-18T15:57:03.218000,2023-04-18T14:33:13.957211Z,246,C1I6GZK1,59,13 hours or more,22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
643ea9426f8ac06beb4b4f67,5e8b2f6aecf1c07e41c551be,APPROVED,2023-04-18T14:29:40.531000Z,2023-04-18T14:40:41.803000Z,2023-04-18T15:57:03.351000,2023-04-18T14:40:42.366220Z,662,C1I6GZK1,285,10-12 hours,26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
643ea943418aabe29b67202e,5dd6023dcaee3e5b7ba7a5bc,APPROVED,2023-04-18T14:30:44.259000Z,2023-04-18T14:45:19.883000Z,2023-04-18T15:57:03.489000,2023-04-18T14:45:23.021406Z,876,C1I6GZK1,305,13 hours or more,26,Male,White,Sweden,Sweden,Sweden,Swedish,No,Unemployed (and job seeking)
643ea95667329bef6267a213,5de6a44e676a6d6145017e02,APPROVED,2023-04-18T14:29:42.147000Z,2023-04-18T14:41:09.702000Z,2023-04-18T15:57:03.612000,2023-04-18T14:41:10.096702Z,688,C1I6GZK1,459,6-9 hours,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
643ea964ccb489e8e28f677e,5eac4b0a1f8db726fc6060c8,APPROVED,2023-04-18T14:29:56.734000Z,2023-04-18T14:37:55.407000Z,2023-04-18T15:57:03.736000,2023-04-18T14:37:55.772744Z,479,C1I6GZK1,288,13 hours or more,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
643ea964f98db49b3e3de615,6138ab0eb6bf317267f80b64,APPROVED,2023-04-18T14:30:09.622000Z,2023-04-18T14:37:12.304000Z,2023-04-18T15:57:16.192000,2023-04-18T14:37:12.821263Z,423,C1I6GZK1,27,3-6 hours,40,Female,White,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
643ea9696d2ee7e02c672027,5fc0f865eb746f052a984304,APPROVED,2023-04-18T14:31:34.629000Z,2023-04-18T14:47:09.536000Z,2023-04-18T15:57:03.863000,2023-04-18T14:47:10.045558Z,935,C1I6GZK1,93,0-3 hours,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
643ea978c06aa7cb4f4b4ef1,5f2261f25742524fd2a62a7a,APPROVED,2023-04-18T14:30:16.079000Z,2023-04-18T14:48:30.118000Z,2023-04-18T15:57:03.985000,2023-04-18T14:48:30.563554Z,1095,C1I6GZK1,127,3-6 hours,32,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
643ea97d8d9424509dbe10de,5f4c175e219f12824882c23d,APPROVED,2023-04-18T14:30:21.356000Z,2023-04-18T14:38:17.889000Z,2023-04-18T15:57:16.318000,2023-04-18T14:38:18.447892Z,477,C1I6GZK1,161,6-9 hours,21,Female,White,Poland,Poland,Poland,Polish,Yes,Other
643ea985418aabe29b672038,608adf0cc8637f7f395352b1,APPROVED,2023-04-18T14:30:41.496000Z,2023-04-18T14:37:32.068000Z,2023-04-18T15:57:04.110000,2023-04-18T14:37:32.660236Z,411,C1I6GZK1,254,13 hours or more,22,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
643ea985ebf4dc793818234d,61064894bea937e97b971f3c,APPROVED,2023-04-18T14:30:34.747000Z,2023-04-18T14:46:56.201000Z,2023-04-18T15:57:16.443000,2023-04-18T14:46:58.391432Z,982,C1I6GZK1,174,3-6 hours,34,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time
